Jane Austen         | 3 | 4.61 | 0.11 | 0.06 | 17.38 | 2.61 |
Charles Dickens     | 3 | 4.52 | 0.12 | 0.07 | 16.10 | 2.75 |
John Grisham        | 1 | 5.13 | 0.35 | 0.24 | 14.51 | 1.97 |
Stephen King        | 2 | 4.52 | 0.15 | 0.09 | 10.77 | 1.70 |
Herman Melville     | 3 | 4.75 | 0.21 | 0.14 | 20.25 | 3.33 |
William Shakespeare | 3 | 4.41 | 0.24 | 0.16 | 10.02 | 2.30 |
Mark Twain          | 4 | 4.46 | 0.16 | 0.10 | 17.95 | 2.58 |
Justin              | 1 | 4.63 | 0.13 | 0.07 | 14.95 | 2.84 |
